Zone Timestep,THERMAL ZONE 1:Zone Mean Air Temperature[C],THERMAL ZONE 2:Zone Mean Air Temperature[C],THERMAL ZONE 3:Zone Mean Air Temperature[C]
2006-Jan-01 00:10:00,25.633565213609366,24.442545952827253,20.18760275552157
2006-Jan-01 00:20:00,25.544023812932803,24.3938599606794,20.14039356495893
2006-Jan-01 00:30:00,25.45325929307095,24.34326321758352,20.09222684238384
2006-Jan-01 00:40:00,25.36140090638983,24.29075027299459,20.043125749999103
2006-Jan-01 00:50:00,25.268441781327017,24.236407110001156,19.99314427492894
2006-Jan-01 01:00:00,25.174335624161916,24.180234053498733,19.942307931519956
2006-Jan-01 01:10:00,25.08108994604756,24.123214567633255,19.891290870095148
2006-Jan-01 01:20:00,24.98824716514407,24.06516809487487,19.840256913123365
2006-Jan-01 01:30:00,24.89485356316184,24.005674455833873,19.789039704532804
2006-Jan-01 01:40:00,24.8005981187006,23.94454271908265,19.737417936929912
2006-Jan-01 01:50:00,24.70562498902866,23.881889131970887,19.685288992995492
2006-Jan-01 02:00:00,24.610043359876993,23.817787942984136,19.632629716008545
2006-Jan-01 02:10:00,24.51592018456531,23.754126290733108,19.580722147401893
2006-Jan-01 02:20:00,24.42272419144907,23.69052416158588,19.529869167363692
2006-Jan-01 02:30:00,24.329358144261118,23.62603775792931,19.479672600847145
2006-Jan-01 02:40:00,24.235451762559947,23.560278325443612,19.429646490934665
2006-Jan-01 02:50:00,24.141141816470693,23.49338563712216,19.379513342903994
2006-Jan-01 03:00:00,24.04654882055094,23.425490641278643,19.32917899180518
2006-Jan-01 03:10:00,23.95568672333386,23.36027259730128,19.281156414856014
2006-Jan-01 03:20:00,23.867549511820332,23.296955131464383,19.23603177591273
2006-Jan-01 03:30:00,23.779965774375388,23.233568635524705,19.19297172869555
2006-Jan-01 03:40:00,23.69219643925691,23.16932261591441,19.15097656523074
2006-Jan-01 03:50:00,23.604466738386318,23.104410949360428,19.109441805405428
2006-Jan-01 04:00:00,23.5170117960923,23.039082454414295,19.068147037423742
2006-Jan-01 04:10:00,23.434773256000977,22.97700612282062,19.029575684244627
2006-Jan-01 04:20:00,23.356527551335642,22.917387031223864,18.994338736812843
2006-Jan-01 04:30:00,23.279628654531525,22.85822050473913,18.961612097571884
2006-Jan-01 04:40:00,23.203192461962423,22.798707518055195,18.930389479924152
2006-Jan-01 04:50:00,23.127461947644818,22.739018239415834,18.90003344818848
2006-Jan-01 05:00:00,23.052718443811084,22.6794061013511,18.870298369780812
2006-Jan-01 05:10:00,22.982101749399032,22.62443904437826,18.844294561885413
2006-Jan-01 05:20:00,22.9147987029343,22.573185632037312,18.822834189310967
2006-Jan-01 05:30:00,22.8489108231241,22.52312784485951,18.80492549957056
2006-Jan-01 05:40:00,22.783737115586966,22.473237631386944,18.789321001128535
2006-Jan-01 05:50:00,22.719412987073685,22.423677091072047,18.77519725889592
2006-Jan-01 06:00:00,22.656168891733802,22.37476622519833,18.76222023646623
