Zone Timestep,ESTE:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],NORTE:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],OESTE:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SUR:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],TECHO:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2]
2006-Jan-01 00:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 00:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 00:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 00:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 00:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 07:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 07:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 07:20:00,92.37575272528201,6.450659557302286,6.450659557302286,44.66896557851363,11.007166490907068
2006-Jan-01 07:30:00,114.32837060578208,8.099869720399923,8.099869720399923,57.31892748634762,16.150552024465764
2006-Jan-01 07:40:00,180.7748272519875,13.163192064066479,13.163192064066479,93.84239378804955,30.702390048918275
2006-Jan-01 07:50:00,231.41733029026776,18.50551570944353,18.50551570944353,124.83677659402883,49.00774373737538
2006-Jan-01 08:00:00,297.39004685434617,25.81767088436511,25.81767088436511,167.2755620724876,70.98867497148065
2006-Jan-01 08:10:00,345.67881171568195,31.940127021861507,31.940127021861507,202.16796887846743,96.55309027769006
2006-Jan-01 08:20:00,392.14973751643583,38.27433360290931,38.27433360290931,238.6032276093798,125.59501483967344
2006-Jan-01 08:30:00,436.1372657582227,44.791875656873806,44.791875656873806,276.28192888043566,157.99490637370772
2006-Jan-01 08:40:00,470.1709765443236,50.58944980526124,50.58944980526124,310.3507855089057,190.17290563761634
2006-Jan-01 08:50:00,501.9074712419665,56.53657400872359,56.53657400872359,345.5706841881641,224.93353123724012
2006-Jan-01 09:00:00,531.1111175274214,62.62218367813799,62.62218367813799,381.868619087129,262.13840430140544
2006-Jan-01 09:10:00,557.5631384864461,68.83445498661546,68.83445498661546,419.171075729673,301.639057335575
2006-Jan-01 09:20:00,581.0590676269165,75.1609270984791,75.1609270984791,457.40286240408255,343.27736673550964
2006-Jan-01 09:30:00,601.4074326630076,81.58861378933457,81.58861378933457,496.48646199533573,386.8860137440133
2006-Jan-01 09:40:00,601.8827810381212,85.78880792002654,85.78880792002654,522.0264609188634,420.34282060247244
