Zone Timestep,THERMAL ZONE 1:Zone Mean Air Temperature[C],THERMAL ZONE 2:Zone Mean Air Temperature[C],THERMAL ZONE 3:Zone Mean Air Temperature[C]
2006-Jan-01 00:10:00,23.61953942757988,23.7944472098312,23.098820125485616
2006-Jan-01 00:20:00,23.56048963582705,23.713596897615034,23.02292931794598
2006-Jan-01 00:30:00,23.500251308245222,23.631526206632785,22.944537440952264
2006-Jan-01 00:40:00,23.43886125039812,23.54830816132738,22.86672027916844
2006-Jan-01 00:50:00,23.3763619654141,23.46402808824152,22.791652971313965
2006-Jan-01 01:00:00,23.312804137082807,23.378788909227485,22.7190454564249
2006-Jan-01 01:10:00,23.24824280877074,23.292708099034474,22.64829290673422
2006-Jan-01 01:20:00,23.182726991744268,23.20590569237273,22.578556445900944
2006-Jan-01 01:30:00,23.116283487985267,23.118484057165702,22.50934322716334
2006-Jan-01 01:40:00,23.04889115192896,23.030492654602412,22.440548549676915
2006-Jan-01 01:50:00,22.980439494821876,22.941858365739364,22.372229005142753
2006-Jan-01 02:00:00,22.91064159578081,22.852089176894964,22.304428515738735
2006-Jan-01 02:10:00,22.838676395506347,22.764634058319025,22.237623871216744
2006-Jan-01 02:20:00,22.76327888585028,22.681096655926726,22.171697224689428
2006-Jan-01 02:30:00,22.686460837041786,22.600422425440897,22.10633700537001
2006-Jan-01 02:40:00,22.61438393467859,22.52123120662883,22.041348960138837
2006-Jan-01 02:50:00,22.546887674572172,22.442973550080886,21.97667963542273
2006-Jan-01 03:00:00,22.48151243870507,22.365713486768495,21.91232715842649
2006-Jan-01 03:10:00,22.416818310071406,22.289670300677063,21.84914750509778
2006-Jan-01 03:20:00,22.35268752478667,22.214475616893356,21.786977040007702
2006-Jan-01 03:30:00,22.28939706301022,22.13878257160037,21.72531824699069
2006-Jan-01 03:40:00,22.227046260071894,22.06251150837025,21.663882319709387
2006-Jan-01 03:50:00,22.16555663081945,21.98618284081043,21.602630458443475
2006-Jan-01 04:00:00,22.104853022929696,21.91014838939076,21.541617923863164
2006-Jan-01 04:10:00,22.04498642445375,21.83447193531379,21.482675523546565
2006-Jan-01 04:20:00,21.986159078176573,21.759142634361304,21.42557387719599
2006-Jan-01 04:30:00,21.927397717220774,21.684263585893966,21.369364641855693
2006-Jan-01 04:40:00,21.86838478554568,21.60934675882436,21.312840160317478
2006-Jan-01 04:50:00,21.80933372637037,21.534295169752,21.255877683916143
2006-Jan-01 05:00:00,21.750497156285036,21.459286154156125,21.198849414247263
2006-Jan-01 05:10:00,21.69197552350018,21.384503724766,21.141295294963168
2006-Jan-01 05:20:00,21.633779932205062,21.310046387462677,21.083487719116455
2006-Jan-01 05:30:00,21.575922944681956,21.235966791765918,21.0258826707387
2006-Jan-01 05:40:00,21.518437343512435,21.162310173012962,20.96872560041488
2006-Jan-01 05:50:00,21.46135231629182,21.089111904629885,20.912057837521463
2006-Jan-01 06:00:00,21.404674969920958,21.01638171095507,20.85585537630121
2006-Jan-01 06:10:00,21.348393697083115,20.944103512853005,20.802440839061664
2006-Jan-01 06:20:00,21.292480522898522,20.87223529131307,20.751888291811962
2006-Jan-01 06:30:00,21.2369040002741,20.800727453610335,20.702907507737233
2006-Jan-01 06:40:00,21.181642047680658,20.729543322130347,20.65457164587813
2006-Jan-01 06:50:00,21.126691072798245,20.65867390971745,20.606702807197475
2006-Jan-01 07:00:00,21.07206962725497,20.588143646628566,20.559129875027644
2006-Jan-01 07:10:00,21.017816788340532,20.518007906925547,20.512421319440055
2006-Jan-01 07:20:00,20.96398734650755,20.448345925658764,20.496848885989177
2006-Jan-01 07:30:00,20.910648339701595,20.379255734984884,20.4962557585523
2006-Jan-01 07:40:00,20.85788639400107,20.310865419535244,20.503328150581627
2006-Jan-01 07:50:00,20.805825806829723,20.243360118783936,20.512354070653597
2006-Jan-01 08:00:00,20.754642900306468,20.17700157477104,20.524882880929418
2006-Jan-01 08:10:00,20.704570428077503,20.112130653791617,20.538081328913922
2006-Jan-01 08:20:00,20.65589062363857,20.04915319594573,20.548555720833185
2006-Jan-01 08:30:00,20.608929477928726,19.98852766177483,20.55538895074373
2006-Jan-01 08:40:00,20.56404868529548,19.930750850580683,20.558330253703225
2006-Jan-01 08:50:00,20.521633521554847,19.876339673837744,20.558071766086783
2006-Jan-01 09:00:00,20.48207812940417,19.825810536455016,20.55566875724487
2006-Jan-01 09:10:00,20.445768819401177,19.779655829306176,20.552258940887505
2006-Jan-01 09:20:00,20.413081530374964,19.738336724425324,20.54791253630533
2006-Jan-01 09:30:00,20.384376898509817,19.702274700807568,20.542307646708572
2006-Jan-01 09:40:00,20.360000579090393,19.671856802012503,20.533581293112828
2006-Jan-01 09:50:00,20.34028452132994,19.64744793534525,20.521593903357626
2006-Jan-01 10:00:00,20.325572098345525,19.629428179015793,20.50860400545754
2006-Jan-01 10:10:00,20.316094187667687,19.618051920710336,20.49557985607801
2006-Jan-01 10:20:00,20.312022259160422,19.613512364468715,20.482999101309776
2006-Jan-01 10:30:00,20.313507356286163,19.61598218034788,20.477698860966417
2006-Jan-01 10:40:00,20.320603941745098,19.625460451350737,20.484039603468464
2006-Jan-01 10:50:00,20.333250903680906,19.641693642115886,20.50090642923742
2006-Jan-01 11:00:00,20.351295411789568,19.663948241579213,20.525232937000162
2006-Jan-01 11:10:00,20.374505470848458,19.69179549885635,20.553499584118946
2006-Jan-01 11:20:00,20.402560286873683,19.729334131316662,20.58497008558817
2006-Jan-01 11:30:00,20.435018329659865,19.77722626524942,20.620147265470713
2006-Jan-01 11:40:00,20.471214312836672,19.833835368394837,20.658822022798553
2006-Jan-01 11:50:00,20.50957489053824,19.897713438950653,20.700856530518767
2006-Jan-01 12:00:00,20.55260473540662,19.968251528261224,20.74795809022009
2006-Jan-01 12:10:00,20.603459647981204,20.04516861105783,20.80066138160479
2006-Jan-01 12:20:00,20.661736860526272,20.12807440417152,20.858744584442515
2006-Jan-01 12:30:00,20.72563047115191,20.216441117255453,20.92189368714274
2006-Jan-01 12:40:00,20.793984144130263,20.309741871633335,20.990840046803722
2006-Jan-01 12:50:00,20.866418727679765,20.40742694559152,21.065962168869763
2006-Jan-01 13:00:00,20.942772225074457,20.50893948516369,21.14642427783163
2006-Jan-01 13:10:00,21.022794967068638,20.61369848563383,21.227315263078832
2006-Jan-01 13:20:00,21.10618782751853,20.72104067859944,21.30854383846929
2006-Jan-01 13:30:00,21.192733581973048,20.830069547100127,21.391968616683247
2006-Jan-01 13:40:00,21.282363623755273,20.938022025883853,21.477537913749014
2006-Jan-01 13:50:00,21.375165138615348,21.047365283443238,21.5649806463891
2006-Jan-01 14:00:00,21.47138731806167,21.161419323174076,21.654851739334525
2006-Jan-01 14:10:00,21.57149884814356,21.28089179615016,21.746397695271817
2006-Jan-01 14:20:00,21.67641178788724,21.405295817606643,21.83997552240238
2006-Jan-01 14:30:00,21.787793346342827,21.534714738132852,21.93623531387443
2006-Jan-01 14:40:00,21.901196075265705,21.671004534824945,22.035458409988014
2006-Jan-01 14:50:00,22.011885675356783,21.814837582251986,22.135841573913645
2006-Jan-01 15:00:00,22.120250921865043,21.960839054025183,22.240378427117346
2006-Jan-01 15:10:00,22.22843657249896,22.106694805284068,22.35073403760779
2006-Jan-01 15:20:00,22.337442068593276,22.25300782141381,22.465427596801394
2006-Jan-01 15:30:00,22.447021643730537,22.400556185137066,22.582570807193328
2006-Jan-01 15:40:00,22.55661986175922,22.549165359324018,22.70058782880562
2006-Jan-01 15:50:00,22.665851984529766,22.698101580086416,22.81893551295183
2006-Jan-01 16:00:00,22.774455241722453,22.846638103765745,22.93761304584608
2006-Jan-01 16:10:00,22.882154276868278,22.994226844671275,23.055864896537624
2006-Jan-01 16:20:00,22.988636339936985,23.140420780431842,23.17340147331113
2006-Jan-01 16:30:00,23.093604329414095,23.28482080825802,23.29039201277612
2006-Jan-01 16:40:00,23.1968178435535,23.427100916331142,23.4051597868423
2006-Jan-01 16:50:00,23.298098019426764,23.56705689961287,23.51670804567578
2006-Jan-01 17:00:00,23.39730635041405,23.704636746337876,23.625189094996433
2006-Jan-01 17:10:00,23.494311670005214,23.84000010495697,23.729592302001596
2006-Jan-01 17:20:00,23.588946000820687,23.97420291892909,23.829165418841953
2006-Jan-01 17:30:00,23.680942241800185,24.103569353031823,23.92400862098628
2006-Jan-01 17:40:00,23.769946078589154,24.227078626818095,24.010375753036882
2006-Jan-01 17:50:00,23.855391029845098,24.345251580198457,24.0802772688436
2006-Jan-01 18:00:00,23.93625080416095,24.458246014811042,24.127947060165667
2006-Jan-01 18:10:00,24.009727554063126,24.565401464331625,24.131881021483238
2006-Jan-01 18:20:00,24.082285699417362,24.665645111559478,24.130421361600682
2006-Jan-01 18:30:00,24.154757997710526,24.75782430872298,24.150033886099305
2006-Jan-01 18:40:00,24.22483550389375,24.84078998241556,24.18659684531639
2006-Jan-01 18:50:00,24.288413361440153,24.913449434117517,24.22593817312187
2006-Jan-01 19:00:00,24.34405438164249,24.97485661569756,24.25933333411669
2006-Jan-01 19:10:00,24.391855820017692,25.0241530492319,24.286622455004856
2006-Jan-01 19:20:00,24.4319229485316,25.061050988862778,24.308594377012916
2006-Jan-01 19:30:00,24.46412282281487,25.088926033137113,24.32494301203889
2006-Jan-01 19:40:00,24.488432546315142,25.108627890598928,24.33496920037975
2006-Jan-01 19:50:00,24.50512094746274,25.11950513037723,24.33830458910763
2006-Jan-01 20:00:00,24.51465024391,25.121329537983723,24.335103273201412
2006-Jan-01 20:10:00,24.51764658191122,25.114736598605855,24.32633219692014
2006-Jan-01 20:20:00,24.514748319489865,25.10065546392105,24.312237774780332
2006-Jan-01 20:30:00,24.506569018661807,25.0800146209531,24.292899667947086
2006-Jan-01 20:40:00,24.49371585105324,25.053639341892495,24.26862985337498
2006-Jan-01 20:50:00,24.476758524324527,25.02224863139314,24.239931166899517
2006-Jan-01 21:00:00,24.45619060353664,24.986471583679943,24.207307861320935
2006-Jan-01 21:10:00,24.432420297302823,24.946846147377656,24.169694205867682
2006-Jan-01 21:20:00,24.405781875315252,24.90381627607619,24.127194183263057
2006-Jan-01 21:30:00,24.376548725224897,24.857737968160887,24.0808636403368
2006-Jan-01 21:40:00,24.34493870618402,24.80888643875656,24.03164262986042
2006-Jan-01 21:50:00,24.31111598803884,24.75746141378692,23.97997207338035
2006-Jan-01 22:00:00,24.275195809462275,24.703594688472005,23.92596745574649
2006-Jan-01 22:10:00,24.23725351717558,24.647362755593885,23.872315018070612
2006-Jan-01 22:20:00,24.197334469440907,24.588801163884728,23.819128498440545
2006-Jan-01 22:30:00,24.15546684403257,24.527923777826175,23.765094886188454
2006-Jan-01 22:40:00,24.11167729493721,24.46474626535611,23.70920588872661
2006-Jan-01 22:50:00,24.066004727042536,24.39930678109938,23.651197057743527
2006-Jan-01 23:00:00,24.01850666501235,24.331675731130666,23.591202395051887
2006-Jan-01 23:10:00,23.969257964362296,24.26195395017714,23.52882968066015
2006-Jan-01 23:20:00,23.918344510256546,24.190262989749595,23.464218579716885
2006-Jan-01 23:30:00,23.86585652010614,24.116734495929226,23.397702043904992
2006-Jan-01 23:40:00,23.811882172597574,24.041500154991233,23.329500604291873
2006-Jan-01 23:50:00,23.756502358412526,23.96468354783031,23.25968140921916
2006-Jan-02 00:00:00,23.69978736981606,23.886395137322438,23.188226340642036
2006-Jan-02 00:10:00,23.64179998592991,23.80673685154448,23.121745369052345
2006-Jan-02 00:20:00,23.582586263535315,23.7257893419365,23.060112380171514
2006-Jan-02 00:30:00,23.52218461522646,23.64362420174031,22.99983781317564
2006-Jan-02 00:40:00,23.46064166106741,23.560325641971467,22.939516335806985
2006-Jan-02 00:50:00,23.398025207203027,23.476008738619903,22.88049487637445
2006-Jan-02 01:00:00,23.334427539537252,23.390825051599275,22.823239219741794
2006-Jan-02 01:10:00,23.269953801891063,23.30494801999247,22.7618358681756
2006-Jan-02 01:20:00,23.204717706360576,23.218568505202754,22.69602909754912
2006-Jan-02 01:30:00,23.138816367112373,23.13186216579449,22.62867011138461
2006-Jan-02 01:40:00,23.07229407217064,23.044939249182335,22.561974139068674
2006-Jan-02 01:50:00,23.00509431376052,22.95775926182098,22.49656374713795
2006-Jan-02 02:00:00,22.936971212047112,22.86971341061846,22.43222088336576
2006-Jan-02 02:10:00,22.86712702635489,22.78514468954073,22.369285149065302
2006-Jan-02 02:20:00,22.79446139193886,22.704951352653143,22.307603983656165
2006-Jan-02 02:30:00,22.721444151876586,22.62762230313248,22.246863051245857
2006-Jan-02 02:40:00,22.653007820941596,22.551805978809526,22.18686821069545
2006-Jan-02 02:50:00,22.589043227063094,22.47710092534853,22.127560398717744
2006-Jan-02 03:00:00,22.52742834882435,22.40359978265553,22.06892829757383
2006-Jan-02 03:10:00,22.466840177360396,22.33139647663994,22.009571209793982
2006-Jan-02 03:20:00,22.407094903984223,22.26047782151432,21.94962604146434
2006-Jan-02 03:30:00,22.348385544920877,22.19087216782751,21.88982054656003
2006-Jan-02 03:40:00,22.290769697381645,22.12171012185407,21.83058452694103
2006-Jan-02 03:50:00,22.23413972294038,22.0524212988212,21.77194795961187
2006-Jan-02 04:00:00,22.17836220939242,21.983169249363698,21.713782366546457
2006-Jan-02 04:10:00,22.123359514483184,21.914253383466825,21.65930210992894
2006-Jan-02 04:20:00,22.06912750790368,21.84576898785905,21.608115519417527
2006-Jan-02 04:30:00,22.01590603046963,21.777680517976236,21.5584395464333
2006-Jan-02 04:40:00,21.962900027260506,21.709999241748218,21.50919985936778
2006-Jan-02 04:50:00,21.9097183059545,21.642252240647544,21.46029943415524
2006-Jan-02 05:00:00,21.856513638983735,21.574383904881255,21.411647142068276
2006-Jan-02 05:10:00,21.803586525467963,21.50664832367149,21.363943919269868
2006-Jan-02 05:20:00,21.751144601555104,21.439331588606642,21.31763834621531
2006-Jan-02 05:30:00,21.699306042346294,21.372645341816447,21.272149904135464
2006-Jan-02 05:40:00,21.648168129321654,21.306751158405373,21.22750777737931
2006-Jan-02 05:50:00,21.59783328034546,21.241796821078605,21.18344243854919
2006-Jan-02 06:00:00,21.548397764608243,21.177921970010757,21.14033308317758
2006-Jan-02 06:10:00,21.49993865864149,21.1152494390147,21.097813726684347
2006-Jan-02 06:20:00,21.45251284415961,21.053881061834776,21.056061213718074
2006-Jan-02 06:30:00,21.40616215747898,20.993899302676752,21.015276587485797
2006-Jan-02 06:40:00,21.360916672891097,20.935368112263557,20.97534098572184
2006-Jan-02 06:50:00,21.316795009046963,20.878331470984996,20.936186021932137
2006-Jan-02 07:00:00,21.273804409417735,20.82281275108861,20.89784231887575
2006-Jan-02 07:10:00,21.231944954412775,20.768820313663493,20.860202142442663
2006-Jan-02 07:20:00,21.19120592185414,20.716343736819482,20.866581962208215
2006-Jan-02 07:30:00,21.151571919834872,20.665363203478528,20.89479939149146
2006-Jan-02 07:40:00,21.1130411676458,20.615877936524345,20.926045732656874
2006-Jan-02 07:50:00,21.075655157045265,20.567951980201585,20.951328386245315
2006-Jan-02 08:00:00,21.039519763064167,20.521743657276442,20.970747552441637
2006-Jan-02 08:10:00,21.004806184086075,20.477500714469844,20.988829076571573
2006-Jan-02 08:20:00,20.971737943210783,20.435534028991903,21.006691378525574
2006-Jan-02 08:30:00,20.940576606370932,20.39619220904495,21.023845955643186
2006-Jan-02 08:40:00,20.911614062664196,20.359849304360537,21.038569469574327
2006-Jan-02 08:50:00,20.88516972818044,20.326901470259113,21.050139954425205
2006-Jan-02 09:00:00,20.861585572681744,20.297760067828495,21.059232545087504
2006-Jan-02 09:10:00,20.841213418715547,20.272832532406806,21.066686775396654
2006-Jan-02 09:20:00,20.824405352316923,20.25250586207514,21.072911318926522
2006-Jan-02 09:30:00,20.811529508121108,20.23715899184729,21.0779014089727
2006-Jan-02 09:40:00,20.80286118401321,20.227044547253353,21.078549914024986
2006-Jan-02 09:50:00,20.798640079179656,20.22236320233089,21.075207657962512
2006-Jan-02 10:00:00,20.79909012492314,20.223287559474777,21.070383230232043
2006-Jan-02 10:10:00,20.80437322711153,20.22990441567114,21.065499093131095
2006-Jan-02 10:20:00,20.81459507908175,20.242218640016148,21.061618884313745
2006-Jan-02 10:30:00,20.829702383355304,20.259925520332782,21.065177091982374
2006-Jan-02 10:40:00,20.849529274695346,20.282163775272064,21.079921332796797
2006-Jan-02 10:50:00,20.873842620087448,20.309133595582725,21.104317790151566
2006-Jan-02 11:00:00,20.90232614428597,20.34464663720398,21.135080904041043
2006-Jan-02 11:10:00,20.93452430594705,20.389278760884014,21.169241750052954
2006-Jan-02 11:20:00,20.969676657561696,20.441529077165352,21.20552835832049
2006-Jan-02 11:30:00,21.005300457544678,20.50009404039211,21.246152698615756
2006-Jan-02 11:40:00,21.04754643408451,20.564452166111714,21.291855832574655
2006-Jan-02 11:50:00,21.0977580518041,20.634398902588394,21.342191600518504
2006-Jan-02 12:00:00,21.15419278349574,20.70965715220648,21.396646494561526
2006-Jan-02 12:10:00,21.21522829649739,20.789848196143843,21.454103975671874
2006-Jan-02 12:20:00,21.280320137735316,20.874579299388227,21.51441041847328
