Zone Timestep,THERMAL ZONE 1:Zone Mean Air Temperature[C],THERMAL ZONE 2:Zone Mean Air Temperature[C]
2006-Jan-01 00:10:00,25.84189426252398,24.546268932257163
2006-Jan-01 00:20:00,25.750597379545127,24.49719160013702
2006-Jan-01 00:30:00,25.658031446128906,24.446195678868015
2006-Jan-01 00:40:00,25.564339417690704,24.39327546799021
2006-Jan-01 00:50:00,25.469504982885073,24.338517087836774
2006-Jan-01 01:00:00,25.37347213527212,24.281920501701027
2006-Jan-01 01:10:00,25.278425777069202,24.224468833341795
2006-Jan-01 01:20:00,25.183876543282366,24.165980501042142
2006-Jan-01 01:30:00,25.08879675215159,24.106036165071057
2006-Jan-01 01:40:00,24.99285603166514,24.044446013946843
2006-Jan-01 01:50:00,24.896209481578357,23.981327388132083
2006-Jan-01 02:00:00,24.798974101751984,23.916754582789828
2006-Jan-01 02:10:00,24.70321293258331,23.852614179653408
2006-Jan-01 02:20:00,24.60838829620509,23.78852464656732
2006-Jan-01 02:30:00,24.513403207435662,23.723543377511117
2006-Jan-01 02:40:00,24.417891283732544,23.657283523349864
2006-Jan-01 02:50:00,24.321990159963036,23.589886075679544
2006-Jan-01 03:00:00,24.225819133649903,23.52148173965109
2006-Jan-01 03:10:00,24.1333841613661,23.455748027451143
2006-Jan-01 03:20:00,24.043673434834794,23.391905437687036
2006-Jan-01 03:30:00,23.95451987482513,23.32798601944135
2006-Jan-01 03:40:00,23.86519194097526,23.263202818571166
2006-Jan-01 03:50:00,23.775916691558635,23.19775159085404
2006-Jan-01 04:00:00,23.68692735167535,23.13188065463994
2006-Jan-01 04:10:00,23.603222442558497,23.069256731148975
2006-Jan-01 04:20:00,23.52355792877252,23.00908172242314
2006-Jan-01 04:30:00,23.445262053399286,22.949352678444708
2006-Jan-01 04:40:00,23.367450526908065,22.88927433447587
2006-Jan-01 04:50:00,23.290371773107427,22.829018890501136
2006-Jan-01 05:00:00,23.214308156882954,22.768839496713877
2006-Jan-01 05:10:00,23.142272572735376,22.713301286665228
2006-Jan-01 05:20:00,23.07347063619611,22.661468703296958
2006-Jan-01 05:30:00,23.006062413261024,22.610825293916978
2006-Jan-01 05:40:00,22.93937106149704,22.560347306621438
2006-Jan-01 05:50:00,22.873528569037596,22.510198927736578
2006-Jan-01 06:00:00,22.80875863224419,22.460699468237827
2006-Jan-01 06:10:00,22.753468890120242,22.41819675118342
2006-Jan-01 06:20:00,22.70606016639808,22.381513082734124
2006-Jan-01 06:30:00,22.662060956029244,22.347162105387604
2006-Jan-01 06:40:00,22.619753869830546,22.313669446874812
2006-Jan-01 06:50:00,22.57940206575379,22.28120401036347
2006-Jan-01 07:00:00,22.541526128552192,22.25022746636565
2006-Jan-01 07:10:00,22.51065734853107,22.2254441140692
2006-Jan-01 07:20:00,22.50149811982909,22.206100372735467
2006-Jan-01 07:30:00,22.507420859468063,22.189647575308058
2006-Jan-01 07:40:00,22.52807875209441,22.174997858662866
2006-Jan-01 07:50:00,22.563409163992365,22.162284918444183
2006-Jan-01 08:00:00,22.616711416993397,22.15196621486772
2006-Jan-01 08:10:00,22.69172155503989,22.14893386247553
2006-Jan-01 08:20:00,22.78611568219455,22.152849699112377
2006-Jan-01 08:30:00,22.89644506943736,22.161382183934418
2006-Jan-01 08:40:00,23.02037555016348,22.1734836824931
2006-Jan-01 08:50:00,23.15718040468442,22.18934364000425
2006-Jan-01 09:00:00,23.30782851288591,22.209630803614658
2006-Jan-01 09:10:00,23.474604043852228,22.237079059855603
2006-Jan-01 09:20:00,23.658694945539192,22.273081767758296
2006-Jan-01 09:30:00,23.86103515593021,22.315755045759158
2006-Jan-01 09:40:00,24.077526004271103,22.36499784947307
2006-Jan-01 09:50:00,24.3004254644929,22.41723171061177
2006-Jan-01 10:00:00,24.52906399648835,22.474635305400533
2006-Jan-01 10:10:00,24.764786747756865,22.53474728596366
2006-Jan-01 10:20:00,25.002926037933676,22.59475543603221
2006-Jan-01 10:30:00,25.240820700279517,22.65653794459232
2006-Jan-01 10:40:00,25.476468813737718,22.71922911985221
2006-Jan-01 10:50:00,25.710065235984537,22.78259504002245
2006-Jan-01 11:00:00,25.943678738984357,22.84755176740593
2006-Jan-01 11:10:00,26.17175802273574,22.90814514313175
